destination,source,balance
Saudi Arabia,United Arab Emirates,21672287151
Sudan,United Arab Emirates,894175885
Senegal,United Arab Emirates,456106539
Singapore,United Arab Emirates,2165139572
St Helena,United Arab Emirates,62342
Solomon Islands,United Arab Emirates,83364
Sierra Leone,United Arab Emirates,39626047
El Salvador,United Arab Emirates,17499496
San Marino,United Arab Emirates,3417
Somalia,United Arab Emirates,1026394903
Serbia,United Arab Emirates,30857900
South Sudan,United Arab Emirates,165043763
Sao Tome And Principe,United Arab Emirates,2383590
Suriname,United Arab Emirates,15649291
Slovakia,United Arab Emirates,2436442
Slovenia,United Arab Emirates,34917819
Sweden,United Arab Emirates,39612332
Swaziland,United Arab Emirates,113744239
Seychelles,United Arab Emirates,124855690
Syria,United Arab Emirates,1194661498
Turks and Caicos Isds,United Arab Emirates,43260
Chad,United Arab Emirates,112677426
Togo,United Arab Emirates,96298386
Thailand,United Arab Emirates,1110089498
Tajikistan,United Arab Emirates,68249536
Turkmenistan,United Arab Emirates,258578902
Tonga,United Arab Emirates,111055
Trinidad And Tobago,United Arab Emirates,18362576
Tunisia,United Arab Emirates,219955075
Turkey,United Arab Emirates,4269130525
Tuvalu,United Arab Emirates,26303
Tanzania,United Arab Emirates,1141152006
Uganda,United Arab Emirates,242660116
Ukraine,United Arab Emirates,166956794
Uruguay,United Arab Emirates,34307937
United States,United Arab Emirates,6264976205
Uzbekistan,United Arab Emirates,308810658
St Vincent and the Grenadines,United Arab Emirates,53522
Venezuela,United Arab Emirates,39859092
Vietnam,United Arab Emirates,528840474
Vanuatu,United Arab Emirates,246751
Wallis and Futuna,United Arab Emirates,33334
Samoa,United Arab Emirates,60857
Yemen,United Arab Emirates,769531982
South Africa,United Arab Emirates,949307666
Zambia,United Arab Emirates,135534874
Zimbabwe,United Arab Emirates,108480705
Aruba,Argentina,4954059
Angola,Argentina,37517091
Albania,Argentina,6916690
United Arab Emirates,Argentina,453728713
Armenia,Argentina,1577078
Antigua and Barbuda,Argentina,244232
Australia,Argentina,521110618
Austria,Argentina,10730575
Azerbaijan,Argentina,5053881
Belgium,Argentina,405535075
Benin,Argentina,1606202
Bonaire,Argentina,10632145
Burkina Faso,Argentina,825847
Bangladesh,Argentina,607120983
Bulgaria,Argentina,46690341
Bahrain,Argentina,8282043
Bahamas,Argentina,139235947
Bosnia And Herzegovina,Argentina,8370970
Belarus,Argentina,20364401
Belize,Argentina,1873973
Bolivia,Argentina,617926718
Brazil,Argentina,10385463386
Barbados,Argentina,802192
Brunei,Argentina,8220717
Central African Republic,Argentina,835836
Canada,Argentina,651122374
Switzerland,Argentina,1689723696
Chile,Argentina,3069240819
China,Argentina,6817852799
Ivory Coast,Argentina,57989910
Cameroon,Argentina,46893276
Congo,Argentina,13736000
Republic of the Congo,Argentina,24121126
Colombia,Argentina,896672874
Comoros,Argentina,953538
Cape Verde,Argentina,5630497
Costa Rica,Argentina,106722328
Cuba,Argentina,280045560
Curacao,Argentina,6982828
Cyprus,Argentina,40079049
Czech Republic,Argentina,40101808
Germany,Argentina,941690786
Djibouti,Argentina,2841098
Dominica,Argentina,163113
Denmark,Argentina,194607855
Dominican Republic,Argentina,171776013
Algeria,Argentina,1523638991
Ecuador,Argentina,281656268
Egypt,Argentina,988843652
Spain,Argentina,1431719993
Estonia,Argentina,1960449
Ethiopia,Argentina,20109593
Finland,Argentina,7323644
Fiji,Argentina,179207
France,Argentina,349463814
Gabon,Argentina,9448767
United Kingdom,Argentina,732429659
Georgia,Argentina,17088554
Ghana,Argentina,83516092
Guinea,Argentina,1343705
Gambia,Argentina,2894296
Equatorial Guinea,Argentina,2569837
Greece,Argentina,152229608
Grenada,Argentina,500437
Guatemala,Argentina,144645716
Guyana,Argentina,4351099
Hong Kong,Argentina,234848743
Honduras,Argentina,56194318
Croatia,Argentina,33508354
Haiti,Argentina,8618335
Hungary,Argentina,9134445
Indonesia,Argentina,1622643164
India,Argentina,2155535343
Ireland,Argentina,311490748
Iran,Argentina,695652326
Iraq,Argentina,192056626
Iceland,Argentina,3464693
Israel,Argentina,233503660
Italy,Argentina,1002773678
Jamaica,Argentina,4019084
Jordan,Argentina,170098733
Japan,Argentina,452885232
Kazakhstan,Argentina,20840962
Kenya,Argentina,139909662
Cambodia,Argentina,14332390
St Kitts and Nevis,Argentina,136082
South Korea,Argentina,842700139
Kuwait,Argentina,52909187
Laos,Argentina,151334
Lebanon,Argentina,95881776
Liberia,Argentina,807816
Libya,Argentina,61974937
Saint Lucia,Argentina,386327
Sri Lanka,Argentina,6065237
Lithuania,Argentina,29025711
Luxembourg,Argentina,401127898
Latvia,Argentina,47496510
Morocco,Argentina,611690990
Moldova,Argentina,2600462
Madagascar,Argentina,29875048
Maldives,Argentina,654119
Mexico,Argentina,669689499
Macedonia,Argentina,5029526
Mali,Argentina,5008210
Malta,Argentina,93674230
Myanmar,Argentina,2262911
Montenegro,Argentina,2446747
Mongolia,Argentina,2731140
Mozambique,Argentina,104371016
Mauritania,Argentina,9865999
Mauritius,Argentina,40380107
Malawi,Argentina,1287240
Malaysia,Argentina,884182869
Namibia,Argentina,3559699
Niger,Argentina,3824256
Nigeria,Argentina,111020682
Nicaragua,Argentina,26656643
Netherlands,Argentina,1806600338
